scenario,kind,drop_pct,mote_id,total,dropped,drop_rate,dio_rx,dao_rx,parent_switches,malicious
attack_n50_s5_d90,attack,90,1,2306,0,0.0,129,50,0,0
attack_n50_s5_d90,attack,90,2,844,0,0.0,120,0,1,0
attack_n50_s5_d90,attack,90,4,76,0,0.0,71,0,1,0
attack_n50_s5_d90,attack,90,5,285,0,0.0,84,0,1,0
attack_n50_s5_d90,attack,90,6,73,0,0.0,104,0,1,0
attack_n50_s5_d90,attack,90,7,74,0,0.0,67,0,1,0
attack_n50_s5_d90,attack,90,8,73,0,0.0,48,0,1,0
attack_n50_s5_d90,attack,90,9,190,0,0.0,105,0,1,0
attack_n50_s5_d90,attack,90,10,195,0,0.0,114,0,1,0
attack_n50_s5_d90,attack,90,11,71,0,0.0,44,0,1,0
attack_n50_s5_d90,attack,90,12,76,0,0.0,101,0,1,0
attack_n50_s5_d90,attack,90,13,71,0,0.0,62,0,1,0
attack_n50_s5_d90,attack,90,14,289,0,0.0,70,0,1,0
attack_n50_s5_d90,attack,90,15,73,0,0.0,62,0,1,0
attack_n50_s5_d90,attack,90,16,76,0,0.0,86,0,1,0
attack_n50_s5_d90,attack,90,18,181,0,0.0,71,0,1,0
attack_n50_s5_d90,attack,90,19,70,0,0.0,53,0,1,0
attack_n50_s5_d90,attack,90,20,76,0,0.0,88,0,1,0
attack_n50_s5_d90,attack,90,22,74,0,0.0,118,0,1,0
attack_n50_s5_d90,attack,90,23,80,0,0.0,99,0,1,0
attack_n50_s5_d90,attack,90,24,72,0,0.0,64,0,1,0
attack_n50_s5_d90,attack,90,25,74,0,0.0,66,0,1,0
attack_n50_s5_d90,attack,90,27,73,0,0.0,59,0,1,0
attack_n50_s5_d90,attack,90,29,73,0,0.0,49,0,1,0
attack_n50_s5_d90,attack,90,30,403,0,0.0,166,0,1,0
attack_n50_s5_d90,attack,90,32,75,0,0.0,80,0,1,0
attack_n50_s5_d90,attack,90,33,180,0,0.0,110,0,1,0
attack_n50_s5_d90,attack,90,34,617,0,0.0,68,0,1,0
attack_n50_s5_d90,attack,90,35,979,0,0.0,135,0,1,0
attack_n50_s5_d90,attack,90,36,71,0,0.0,48,0,1,0
attack_n50_s5_d90,attack,90,38,71,0,0.0,36,0,1,0
attack_n50_s5_d90,attack,90,40,73,0,0.0,79,0,1,0
attack_n50_s5_d90,attack,90,41,77,0,0.0,102,0,1,0
attack_n50_s5_d90,attack,90,42,74,0,0.0,115,0,1,0
attack_n50_s5_d90,attack,90,43,72,0,0.0,24,0,1,0
attack_n50_s5_d90,attack,90,44,84,0,0.0,84,0,1,0
attack_n50_s5_d90,attack,90,45,303,0,0.0,144,0,1,0
attack_n50_s5_d90,attack,90,47,72,0,0.0,50,0,1,0
attack_n50_s5_d90,attack,90,48,307,0,0.0,114,0,1,0
attack_n50_s5_d90,attack,90,49,301,0,0.0,136,0,1,0
attack_n50_s5_d90,attack,90,50,77,0,0.0,118,0,1,0
attack_n50_s5_d90,attack,90,51,72,0,0.0,71,0,1,0
attack_n50_s5_d90,attack,90,3,81,73,0.9012345679012346,93,0,13,1
attack_n50_s5_d90,attack,90,17,79,68,0.8607594936708861,87,0,3,1
attack_n50_s5_d90,attack,90,21,97,91,0.9381443298969072,90,0,14,1
attack_n50_s5_d90,attack,90,26,78,73,0.9358974358974359,127,0,1,1
attack_n50_s5_d90,attack,90,28,76,71,0.9342105263157895,106,0,1,1
attack_n50_s5_d90,attack,90,31,96,92,0.9583333333333334,71,0,13,1
