scenario,kind,drop_pct,sent,received,pdr
attack_n50_s5_d90,attack,90,2707,2375,0.8773550055411895
attack_n20_s2_d60,attack,60,1138,1007,0.8848857644991213
attack_n100_s4_d30,attack,30,5770,5461,0.9464471403812825
attack_n20_s5_d60,attack,60,1048,890,0.8492366412213741
attack_n50_s2_d60,attack,60,2860,2547,0.8905594405594406
attack_n50_s3_d30,attack,30,2874,2710,0.942936673625609
attack_n100_s5_d60,attack,60,5742,5130,0.8934169278996865
attack_n50_s5_d30,attack,30,2859,2553,0.8929695697796433
attack_n100_s2_d30,attack,30,5782,5227,0.9040124524386025
attack_n100_s5_d30,attack,30,5766,5276,0.9150190773499827
attack_n50_s1_d90,attack,90,2790,2411,0.86415770609319
attack_n50_s5_d60,attack,60,2846,2315,0.8134223471539002
attack_n50_s3_d90,attack,90,2740,2397,0.8748175182481752
attack_n20_s3_d60,attack,60,1077,985,0.914577530176416
attack_n20_s2_d90,attack,90,1129,989,0.8759964570416298
attack_n20_s1_d60,attack,60,1147,1041,0.9075850043591979
attack_n20_s3_d30,attack,30,1076,1029,0.9563197026022305
attack_n20_s5_d30,attack,30,1130,1019,0.9017699115044248
attack_n50_s2_d30,attack,30,2867,2675,0.9330310429019881
attack_n100_s1_d30,attack,30,5767,5279,0.9153806138373505
attack_n100_s3_d90,attack,90,5571,4855,0.8714772931251122
baseline_n50_s4,baseline,0,2878,2878,1.0
attack_n50_s2_d90,attack,90,2773,2396,0.864046159394158
attack_n100_s4_d90,attack,90,5566,4815,0.8650736615163492
attack_n100_s5_d90,attack,90,5596,4822,0.86168691922802
baseline_n20_s4,baseline,0,1140,1140,1.0
baseline_n100_s3,baseline,0,5803,5798,0.999138376701706
attack_n20_s2_d30,attack,30,1140,1073,0.9412280701754386
baseline_n20_s3,baseline,0,1078,1078,1.0
attack_n100_s2_d60,attack,60,5746,5059,0.880438565958928
baseline_n100_s5,baseline,0,5808,5807,0.9998278236914601
attack_n100_s4_d60,attack,60,5752,5142,0.8939499304589708
attack_n20_s1_d90,attack,90,1144,1000,0.8741258741258742
attack_n50_s1_d30,attack,30,2889,2749,0.9515403253721011
baseline_n100_s2,baseline,0,5767,5761,0.998959597711115
baseline_n20_s2,baseline,0,1144,1144,1.0
baseline_n50_s2,baseline,0,2881,2881,1.0
attack_n100_s1_d60,attack,60,5755,5143,0.8936576889661164
attack_n50_s1_d60,attack,60,2883,2575,0.8931668400971211
baseline_n20_s1,baseline,0,1157,1156,0.9991356957649092
attack_n50_s3_d60,attack,60,2874,2567,0.8931802366040362
attack_n20_s5_d90,attack,90,887,802,0.9041713641488163
attack_n20_s3_d90,attack,90,1065,925,0.8685446009389671
attack_n50_s4_d90,attack,90,2786,2416,0.8671931083991385
attack_n20_s4_d90,attack,90,1116,985,0.8826164874551972
baseline_n50_s1,baseline,0,2892,2892,1.0
attack_n50_s4_d30,attack,30,2879,2674,0.928794720389024
baseline_n20_s5,baseline,0,1138,1138,1.0
attack_n100_s3_d60,attack,60,5771,5144,0.8913533183157165
attack_n100_s1_d90,attack,90,5680,4835,0.8512323943661971
attack_n100_s3_d30,attack,30,5790,5500,0.9499136442141624
attack_n50_s4_d60,attack,60,2876,2561,0.8904728789986092
attack_n20_s4_d30,attack,30,1147,1096,0.955536181342633
baseline_n100_s1,baseline,0,5797,5797,1.0
baseline_n50_s5,baseline,0,2872,2872,1.0
baseline_n50_s3,baseline,0,2879,2878,0.9996526571726294
attack_n20_s1_d30,attack,30,1147,1096,0.955536181342633
baseline_n100_s4,baseline,0,5771,5770,0.9998267198059262
attack_n20_s4_d60,attack,60,1144,1041,0.909965034965035
attack_n100_s2_d90,attack,90,5694,4820,0.8465050930804355
